,s_name,case p_type when 1 then '阅读' when 2 then '艺术' when 3 then '课程' when 4 then '万里行' end,is_use
370,静安区蕃瓜弄小学,课程,1
371,静安区烽火幼儿园,课程,1
372,常州市五星实验小学,课程,1
373,常州市兰陵小学,课程,1
374,淄博市淄川区实验小学,课程,1
375,武汉市武昌实验寄宿小学,课程,1
376,常州市清凉小学,课程,1
377,长宁区开元小学,课程,1
378,深圳市福田区教科院附小,课程,1
379,溧阳市第二实验小学,课程,1
380,深圳市福田区园岭实验小学,课程,1
381,江苏省常州高级中学,课程,1
382,重庆市巴蜀小学,课程,1
383,黄浦区北京东路小学,课程,1
384,浦东新区进才外国语中学,课程,0
385,浦东新区进才外国语中学,万里行,1
386,思来氏未来小学,万里行,1
387,长宁区绿苑小学,万里行,1
388,徐汇区康健外国语实验小学,万里行,1
389,常州市实验小学,万里行,1
390,青浦区实验小学,万里行,1
391,常州市西新桥实验小学,万里行,1
392,下町小学校,万里行,1
393,上海市第二师范学校附属小学,万里行,1
394,奉贤区解放路小学,万里行,1
395,长宁区开元小学,万里行,1
396,上海棋院实验小学,万里行,0
397,闵行区华坪小学,万里行,1
398,未来创新课堂,万里行,1
399,闵行区莘庄幼儿园,万里行,1
400,深圳市福田区荔园小学,万里行,1
401,杨浦区杨浦小学,万里行,1
402,常州市武进区星河小学,万里行,1
403,嘉定区紫荆小学,万里行,1
404,杨浦区平凉路第三小学,万里行,1
405,杨浦区平凉路第四小学,万里行,1
406,杨浦区建设小学,万里行,1
407,杨浦区杭州路第一小学,万里行,1
408,思来氏未来教师学院,万里行,1
409,静安区闸北成功教育实验小学,万里行,1
410,深圳市福田区教科院附小,万里行,1
411,宝山区第二中心小学,万里行,1
412,上海青浦世界外国语学校,万里行,1
413,长宁实验小学,万里行,1
414,黄浦区海华小学,万里行,1
415,上海外国语大学尚阳外国语学校,万里行,1
416,蒙城县祥龙希望学校,万里行,1
417,浦东新区临沂八村幼儿园,万里行,1
418,溧阳市第二实验小学,万里行,1
419,上海市光新学校,万里行,1
420,郑州市郑东新区畅和街小学,万里行,1
421,普陀区豪园幼儿园,万里行,1
422,静安区中华新路幼儿园,万里行,1
423,静安区蕃瓜弄小学,万里行,1
424,静安区烽火幼儿园,万里行,1
425,深圳市福田区园岭实验小学,万里行,1
426,三亚市第九小学,万里行,1
427,合肥市西园新村小学,万里行,1
428,思来氏幼儿园,万里行,1
429,江苏省常州高级中学,万里行,1
430,黄浦区曹光彪小学,万里行,1
431,常州市五星实验小学,万里行,1
432,重庆市巴蜀小学,万里行,1
433,广州市海珠区第三实验小学,万里行,1
434,重庆市璧山区实验小学,万里行,1
435,常州市郑陆中心幼儿园,万里行,1
436,常州市青龙中心幼儿园,万里行,1
437,常州市兰陵小学,万里行,1
438,淄博市淄川区实验小学,万里行,1
439,徐汇区启新小学,万里行,1
440,南京市小营小学,万里行,1
441,福州市梅峰小学,万里行,1
442,武汉市武昌实验寄宿小学,万里行,1
443,杨浦区六一小学,阅读,1
444,杨浦区六一小学,艺术,1
445,杨浦区六一小学,课程,1
446,杨浦区政立路小学,阅读,1
447,杨浦区政立路小学,艺术,1
448,杨浦区政立路小学,课程,1
449,宝山区第二中心小学,课程,1
450,静安区闸北成功教育实验小学,课程,1
451,上海棋院实验小学,课程,1
452,黄浦区曹光彪小学,课程,1
453,徐汇区启新小学,课程,1
454,重庆市璧山区实验小学,课程,1
455,常州市青龙中心幼儿园,课程,1
456,福州市梅峰小学,课程,1
457,杨浦区世界小学,阅读,1
458,杨浦区世界小学,艺术,1
459,杨浦区世界小学,课程,1
460,杨浦区市光新村第一小学,阅读,1
461,杨浦区市光新村第一小学,艺术,1
462,杨浦区市光新村第一小学,课程,1
463,常州市新北区新桥实验小学,阅读,1
464,常州市新北区新桥实验小学,艺术,1
465,常州市新北区新桥实验小学,课程,1
466,常德市武陵区北正街小学,阅读,1
467,常德市武陵区北正街小学,艺术,1
468,常德市武陵区北正街小学,课程,1
469,丹东市第十四中学,阅读,1
470,丹东市第十四中学,艺术,1
471,丹东市第十四中学,课程,1
472,嘉定区清水路小学,阅读,1
473,嘉定区清水路小学,艺术,1
474,嘉定区清水路小学,课程,1
475,上海市七宝实验小学,阅读,1
476,上海市七宝实验小学,艺术,1
477,上海市七宝实验小学,课程,1
478,上海市宜川中学附属学校,课程,1
479,思来氏未来小学,阅读,0
480,常州市青龙实验小学,阅读,1
481,杨浦区市光新村第一小学,阅读,0
482,民办童园实验小学,阅读,1
483,嘉定区普通小学,阅读,1
484,嘉定区南苑小学,阅读,1
485,嘉定区南苑小学,艺术,1
486,嘉定区南苑小学,课程,1
487,常州市娑罗巷幼儿园,课程,0
488,嘉定区绿地小学,万里行,1
489,宁波市鄞州区江东中心小学,课程,1
490,宁波市鄞州区江东中心小学,阅读,0
491,漂流图书馆,阅读,1
492,常州市丽华新村第二小学,万里行,1
493,常州市郑陆中心幼儿园,万里行,0
494,杨浦区教师进修学院实验小学,万里行,1
495,江苏省常州高级中学,万里行,1
496,常州市武进区星河小学,万里行,0
497,上海市宜川中学附属学校,阅读,1
498,上海市宜川中学附属学校,艺术,1
499,宁波市鄞州区江东中心小学,万里行,1
500,黄浦区卢湾三中心小学,阅读,1
501,黄浦区卢湾三中心小学,艺术,1
502,黄浦区卢湾三中心小学,课程,1
503,金山区枫泾小学,阅读,0
504,金山区枫泾小学,艺术,0
505,金山区枫泾小学,课程,0
506,金山区兴塔小学,阅读,0
507,金山区兴塔小学,艺术,0
508,金山区兴塔小学,课程,0
509,金山区第二实验小学,阅读,0
510,金山区第二实验小学,艺术,0
511,金山区第二实验小学,课程,0
512,金山区石化第一小学,阅读,1
513,金山区石化第一小学,艺术,1
514,金山区石化第一小学,课程,1
515,常州市翠竹中学,阅读,0
516,常州市翠竹中学,艺术,0
517,常州市翠竹中学,课程,0
518,杨浦区回民小学,万里行,1
519,常州市清凉小学,万里行,1
520,海口市英才小学,阅读,0
521,海口市英才小学,阅读,1
522,,,0
523,金山区松隐小学,阅读,1
524,金山区松隐小学,艺术,1
525,金山区松隐小学,课程,1
526,金山区钱圩小学,阅读,1
527,金山区钱圩小学,艺术,1
528,金山区钱圩小学,课程,1
529,宝山区庙行实验学校,阅读,1
530,宝山区庙行实验学校,艺术,1
531,宝山区庙行实验学校,课程,0
532,普陀区回民小学,阅读,1
533,普陀区回民小学,艺术,1
534,普陀区回民小学,课程,1
535,奉贤区塘外中学,阅读,1
536,奉贤区塘外中学,艺术,1
537,奉贤区塘外中学,课程,1
538,金山区石化第五小学,阅读,1
539,金山区石化第五小学,艺术,1
540,金山区石化第五小学,课程,1
541,金山区吕巷小学,阅读,1
542,金山区吕巷小学,艺术,1
